step,local_batch_size,global_batch_size,images_per_second,step_time_s,loss,rank_0_step_time_s,rank_1_step_time_s,rank_2_step_time_s,rank_3_step_time_s
0,8,16,3.5709703752799498,4.480574834997242,3.4518539905548096,4.480574834997242,2.7050960429987754,4.48047496000072,2.7047594179966836
1,8,16,3.680732212216859,4.346961169001588,3.439763903617859,4.346961169001588,2.541645041994343,4.346957043002476,2.541983668001194
2,8,16,3.7856570051389826,4.22647904400219,3.4084359407424927,4.22647904400219,2.500236125997617,4.226385627000127,2.5002967510008602
