step,local_batch_size,global_batch_size,images_per_second,step_time_s,loss,rank_0_step_time_s,rank_1_step_time_s,rank_2_step_time_s,rank_3_step_time_s
0,2,4,3.4276395982984735,1.166983834002167,2.0084553360939026,1.166983834002167,0.7210383339988766,1.1669645010042586,0.7188809579965891
1,2,4,3.3708191825664886,1.1866551669954788,1.9647031426429749,1.1865889170003356,0.7079481669934466,1.1866551669954788,0.7052960840010201
2,2,4,3.568592550405516,1.1208900829951745,1.9707366228103638,1.1208900829951745,0.6867842089995975,1.120035583000572,0.6868164590050583
