step,local_batch_size,global_batch_size,images_per_second,step_time_s,loss,rank_0_step_time_s,rank_1_step_time_s,rank_2_step_time_s,rank_3_step_time_s
0,4,8,3.4795553640091623,2.2991443339997204,2.629801392555237,2.2991443339997204,1.4059172499983106,2.2987789179969695,1.4060648340018815
1,4,8,3.66573086103133,2.1823751669944613,2.726743698120117,2.1823751669944613,1.2750015419951524,2.1820662090030964,1.2751343749987427
2,4,8,3.686130516744665,2.170297542004846,2.7664825916290283,2.170297542004846,1.2834409179995419,2.1685280430028797,1.2835366669969517
